trip_duration_days,miles_traveled,total_receipts_amount,expected_output,miles_per_day,receipts_per_day,reimbursement_per_day,efficiency_category,trip_length_category,mileage_tier,effective_mileage_rate,receipt_tier,base_per_diem,residual_after_per_diem
3,93.0,1.42,364.51,31.0,0.47333333333333333,121.50333333333333,Low,Short,0-100,3.919462365591398,Very_Low,300,64.50999999999999
1,55.0,3.6,126.06,55.0,3.6,126.06,Low,Short,0-100,2.2920000000000003,Very_Low,100,26.060000000000002
1,47.0,17.97,128.91,47.0,17.97,128.91,Low,Short,0-100,2.7427659574468084,Very_Low,100,28.909999999999997
2,13.0,4.67,203.52,6.5,2.335,101.76,Low,Short,0-100,15.655384615384616,Very_Low,200,3.5200000000000102
3,88.0,5.78,380.37,29.333333333333332,1.9266666666666667,126.79,Low,Short,0-100,4.3223863636363635,Very_Low,300,80.37
1,76.0,13.74,158.35,76.0,13.74,158.35,Low,Short,0-100,2.0835526315789474,Very_Low,100,58.349999999999994
3,41.0,4.52,320.12,13.666666666666666,1.5066666666666666,106.70666666666666,Low,Short,0-100,7.80780487804878,Very_Low,300,20.120000000000005
1,140.0,22.71,199.68,140.0,22.71,199.68,Low,Short,100-300,1.4262857142857144,Very_Low,100,99.68
3,121.0,21.17,464.07,40.333333333333336,7.0566666666666675,154.69,Low,Short,100-300,3.835289256198347,Very_Low,300,164.07
3,117.0,21.99,359.1,39.0,7.329999999999999,119.7,Low,Short,100-300,3.0692307692307694,Very_Low,300,59.10000000000002
2,202.0,21.24,356.17,101.0,10.62,178.085,Low,Short,100-300,1.7632178217821783,Very_Low,200,156.17000000000002
3,80.0,21.05,366.87,26.666666666666668,7.016666666666667,122.29,Low,Short,0-100,4.585875,Very_Low,300,66.87
2,21.0,20.04,204.58,10.5,10.02,102.29,Low,Short,0-100,9.741904761904763,Very_Low,200,4.5800000000000125
3,177.0,18.73,430.86,59.0,6.243333333333333,143.62,Low,Short,100-300,2.434237288135593,Very_Low,300,130.86
1,141.0,10.15,195.14,141.0,10.15,195.14,Low,Short,100-300,1.3839716312056736,Very_Low,100,95.13999999999999
1,58.0,5.86,117.24,58.0,5.86,117.24,Low,Short,0-100,2.0213793103448277,Very_Low,100,17.239999999999995
1,133.0,8.34,179.06,133.0,8.34,179.06,Low,Short,100-300,1.3463157894736841,Very_Low,100,79.06
1,59.0,8.31,120.65,59.0,8.31,120.65,Low,Short,0-100,2.044915254237288,Very_Low,100,20.650000000000006
2,89.0,13.85,234.2,44.5,6.925,117.1,Low,Short,0-100,2.6314606741573034,Very_Low,200,34.19999999999999
2,147.0,17.43,325.56,73.5,8.715,162.78,Low,Short,100-300,2.2146938775510203,Very_Low,200,125.56
5,130.0,306.9,574.1,26.0,61.379999999999995,114.82000000000001,Low,Medium,100-300,4.416153846153846,Medium,500,74.10000000000002
5,173.0,1337.9,1443.96,34.6,267.58000000000004,288.79200000000003,Low,Medium,100-300,8.346589595375722,Very_High,500,943.96
5,592.0,433.75,869.0,118.4,86.75,173.8,Low,Medium,300-600,1.4679054054054055,Medium,500,369.0
5,679.0,476.08,1030.41,135.8,95.216,206.08200000000002,Low,Medium,600-1000,1.5175405007363771,Medium,500,530.4100000000001
5,708.0,1129.52,1654.62,141.6,225.904,330.924,Low,Medium,600-1000,2.3370338983050845,High,500,1154.62
5,261.0,464.94,621.12,52.2,92.988,124.224,Low,Medium,100-300,2.3797701149425285,Medium,500,121.12
